img_name,left_front_wheel,lfw_x,lfw_y,left_back_wheel,lbw_x,lbw_y,left_armor,la_x,la_y,front,f_x,f_y,right_front_wheel,rfw_x,rfw_y,right_back_wheel,rbw_x,rbw_y,right_armor,ra_x,ra_y,back,b_x,b_y
4variationblur3000.png,0,0,0,0,0,0,1,-0.09296875,0.227314815,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.011979167,0.199074074
4variationblur3001.png,0,0,0,1,-0.051822917,0.191203704,1,-0.0859375,0.226388889,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.004166667,0.197222222
4variationblur3002.png,0,0,0,0,0,0,1,-0.078645833,0.224537037,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003125,0.195833333
4variationblur3003.png,0,0,0,0,0,0,1,-0.071875,0.223611111,0,0,0,0,0,0,0,0,0,0,0,0,1,0.010677083,0.194907407
4variationblur3004.png,0,0,0,0,0,0,1,-0.064322917,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01875,0.193518519
4variationblur3005.png,0,0,0,0,0,0,1,-0.056770833,0.221759259,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0265625,0.192592593
4variationblur3006.png,0,0,0,0,0,0,1,-0.04921875,0.22037037,0,0,0,0,0,0,0,0,0,0,0,0,1,0.034895833,0.191203704
4variationblur3007.png,0,0,0,1,-0.003645833,0.18287037,1,-0.041927083,0.218981481,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04296875,0.189814815
4variationblur3008.png,0,0,0,0,0,0,1,-0.034635417,0.217592593,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05078125,0.188888889
4variationblur3009.png,0,0,0,1,0.013020833,0.180092593,1,-0.026822917,0.21712963,0,0,0,0,0,0,0,0,0,0,0,0,1,0.059114583,0.187962963
4variationblur3010.png,0,0,0,1,0.021614583,0.178703704,1,-0.01953125,0.216203704,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0671875,0.187037037
4variationblur3011.png,0,0,0,1,0.0296875,0.177777778,1,-0.012239583,0.215277778,0,0,0,0,0,0,0,0,0,0,0,0,1,0.075260417,0.185648148
4variationblur3012.png,0,0,0,1,0.037239583,0.176388889,1,-0.004947917,0.213425926,0,0,0,0,0,0,0,0,0,0,0,0,1,0.083072917,0.184259259
4variationblur3013.png,0,0,0,1,0.044010417,0.175,1,0.002083333,0.2125,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090364583,0.18287037
4variationblur3014.png,0,0,0,1,0.05078125,0.173148148,1,0.00859375,0.2125,0,0,0,0,0,0,0,0,0,0,0,0,1,0.098177083,0.181481481
4variationblur3015.png,0,0,0,1,0.05703125,0.172222222,1,0.015625,0.211111111,0,0,0,0,0,0,0,0,0,0,0,0,1,0.105208333,0.17962963
4variationblur3016.png,0,0,0,1,0.063020833,0.171296296,1,0.021875,0.210185185,0,0,0,0,0,0,0,0,0,0,0,0,1,0.112239583,0.178703704
4variationblur3017.png,0,0,0,1,0.068489583,0.169907407,1,0.028645833,0.209259259,0,0,0,0,0,0,0,0,0,0,0,0,1,0.119270833,0.177777778
4variationblur3018.png,0,0,0,1,0.0734375,0.168518519,1,0.03515625,0.208333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0.12578125,0.176388889
4variationblur3019.png,0,0,0,1,0.077864583,0.167592593,1,0.040885417,0.20787037,0,0,0,0,0,0,0,0,0,0,0,0,1,0.13203125,0.174537037
4variationblur3020.png,0,0,0,1,0.082291667,0.166666667,1,0.046875,0.206481481,0,0,0,0,0,0,0,0,0,0,0,0,1,0.137760417,0.173611111
4variationblur3021.png,0,0,0,1,0.084895833,0.165277778,1,0.05234375,0.206018519,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14375,0.171759259
4variationblur3022.png,0,0,0,1,0.0875,0.164351852,1,0.057291667,0.205092593,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1484375,0.17037037
4variationblur3023.png,0,0,0,1,0.088541667,0.163888889,1,0.0625,0.204166667,0,0,0,0,0,0,0,0,0,0,0,0,1,0.153125,0.168981481
4variationblur3024.png,0,0,0,1,0.08984375,0.162037037,1,0.066927083,0.203703704,0,0,0,0,0,0,0,0,0,0,0,0,1,0.157291667,0.167592593
4variationblur3025.png,0,0,0,0,0,0,1,0.071354167,0.203240741,0,0,0,0,0,0,0,0,0,0,0,0,1,0.160677083,0.166203704
4variationblur3026.png,0,0,0,0,0,0,1,0.075260417,0.202314815,0,0,0,0,0,0,0,0,0,0,0,0,1,0.163541667,0.164814815
4variationblur3027.png,0,0,0,0,0,0,1,0.07890625,0.201851852,0,0,0,0,0,0,0,0,0,0,0,0,1,0.165625,0.163888889
4variationblur3028.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.166666667,0.162962963
4variationblur3029.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.167447917,0.1625
4variationblur3030.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.167447917,0.161111111
