img_name,front,lr_x,lr_y,right_red,rr_x,rr_y,left_front_wheel,o_x,o_y,left_blue,lb_x,lb_y,left_armor,rb_x,rb_y
,,,,,,,,,,,,,,,
4variation600.jpg,1,0.275,-0.059722222,0,0,0,1,0.368489583,-0.131018519,0,0,0,1,0.48046875,-0.050925926
,,,,,,,,,,,,,,,
4variation601.jpg,1,0.265625,-0.057407407,0,0,0,1,0.355989583,-0.128240741,0,0,0,1,0.47109375,-0.05
,,,,,,,,,,,,,,,
4variation602.jpg,1,0.256510417,-0.05462963,0,0,0,1,0.343489583,-0.125925926,0,0,0,1,0.4609375,-0.049074074
,,,,,,,,,,,,,,,
4variation603.jpg,1,0.245572917,-0.052777778,0,0,0,1,0.32890625,-0.122222222,0,0,0,1,0.449739583,-0.047222222
,,,,,,,,,,,,,,,
4variation604.jpg,1,0.233854167,-0.050462963,0,0,0,1,0.3140625,-0.118981481,0,0,0,1,0.437239583,-0.046296296
,,,,,,,,,,,,,,,
4variation605.jpg,1,0.221354167,-0.045833333,0,0,0,1,0.2984375,-0.116666667,0,0,0,1,0.423697917,-0.044444444
,,,,,,,,,,,,,,,
4variation606.jpg,1,0.208333333,-0.044444444,0,0,0,1,0.28203125,-0.112962963,0,0,0,1,0.409635417,-0.043055556
,,,,,,,,,,,,,,,
4variation607.jpg,1,0.19609375,-0.043518519,0,0,0,1,0.26484375,-0.109259259,0,0,0,1,0.394791667,-0.040277778
,,,,,,,,,,,,,,,
4variation608.jpg,0,0,0,0,0,0,1,0.2453125,-0.105092593,0,0,0,1,0.378645833,-0.038425926
,,,,,,,,,,,,,,,
4variation609.jpg,0,0,0,0,0,0,1,0.22578125,-0.102314815,0,0,0,1,0.361979167,-0.036111111
,,,,,,,,,,,,,,,
4variation610.jpg,0,0,0,0,0,0,1,0.20546875,-0.100462963,0,0,0,1,0.344270833,-0.033796296
,,,,,,,,,,,,,,,
4variation611.jpg,0,0,0,0,0,0,1,0.18359375,-0.098148148,0,0,0,1,0.32578125,-0.031018519
,left_back_wheel,,,,,,left_front_wheel,,,back,,,left_armor,,
4variation612.jpg,1,0.489583333,-0.124537037,0,0,0,1,0.162239583,-0.096759259,0,0,0,1,0.30625,-0.029166667
,,,,,,,,,,,,,,,
4variation613.jpg,1,0.473177083,-0.121759259,0,0,0,1,0.140625,-0.094907407,0,0,0,1,0.286979167,-0.025925926
,,,,,,,,,,,,,,,
4variation614.jpg,1,0.45234375,-0.119444444,0,0,0,1,0.118489583,-0.093055556,0,0,0,1,0.266666667,-0.023148148
,,,,,,,,,,,,,,,
4variation615.jpg,1,0.431510417,-0.116666667,0,0,0,1,0.096354167,-0.091666667,0,0,0,1,0.24609375,-0.020833333
,,,,,,,,,,,,,,,
4variation616.jpg,1,0.409895833,-0.113888889,0,0,0,1,0.07421875,-0.089814815,0,0,0,1,0.225520833,-0.01712963
,,,,,,,,,,,,,,,
4variation617.jpg,1,0.3875,-0.111111111,0,0,0,1,0.0515625,-0.086574074,0,0,0,1,0.20390625,-0.014814815
,,,,0,0,0,,,,,,,,,
4variation618.jpg,1,0.36484375,-0.108796296,,,,1,0.02890625,-0.084259259,0,0,0,1,0.18203125,-0.011574074
,,,,0,0,0,,,,,,,,,
4variation619.jpg,1,0.342447917,-0.106018519,,,,1,0.005208333,-0.080555556,0,0,0,1,0.159895833,-0.008796296
,,,,0,0,0,,,,,,,,,
4variation620.jpg,1,0.317708333,-0.103240741,,,,1,-0.018229167,-0.077314815,0,0,0,1,0.13828125,-0.006481481
,,,,0,0,0,,,,,,,,,
4variation621.jpg,1,0.294010417,-0.100925926,0,0,0,1,-0.041145833,-0.074074074,0,0,0,1,0.116145833,-0.00462963
,,,,,,,,,,,,,,,
4variation622.jpg,1,0.272916667,-0.097222222,0,0,0,1,-0.065625,-0.07037037,0,0,0,1,0.094270833,-0.001851852
,,,,,,,,,,,,,,,
4variation623.jpg,1,0.24765625,-0.094907407,0,0,0,1,-0.090625,-0.066666667,0,0,0,1,0.072135417,0.000925926
,,,,,,,,,,,,,,,
4variation624.jpg,1,0.2234375,-0.092592593,0,0,0,1,-0.117447917,-0.0625,0,0,0,1,0.05,0.003703704
