label,left_front_wheel,lfw_x,lfw_y,left_back_wheel,lbw_x,lbw_y,left_armor,la_x,la_y,front,f_x,f_y,right_front_wheel,rfw_x,rfw_y,right_back_wheel,rbw_x,rbw_y,right_armor,ra_x,ra_y,back,b_x,b_y
4variationblur1000.png,0,0,0,0,0,0,0,0,0,1,0.158854167,0.110185185,1,0.055208333,0.080555556,1,-0.1296875,0.140277778,1,-0.004427083,0.16712963,0,0,0
4variationblur1001.png,0,0,0,0,0,0,0,0,0,1,0.173697917,0.1125,1,0.082291667,0.081481481,1,-0.120572917,0.1375,1,0.009114583,0.166203704,0,0,0
4variationblur1002.png,0,0,0,0,0,0,0,0,0,1,0.1875,0.114351852,1,0.108072917,0.080555556,1,-0.109895833,0.134259259,1,0.023177083,0.165277778,0,0,0
4variationblur1003.png,0,0,0,0,0,0,0,0,0,1,0.2,0.115740741,1,0.131510417,0.081018519,1,-0.09921875,0.131481482,1,0.036197917,0.164814815,0,0,0
4variationblur1004.png,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15234375,0.083796296,1,-0.087239583,0.127777778,1,0.049479167,0.164814815,0,0,0
4variationblur1005.png,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1734375,0.086111111,1,-0.07421875,0.125,1,0.06171875,0.163888889,0,0,0
4variationblur1006.png,0,0,0,0,0,0,0,0,0,0,0,0,1,0.191927083,0.091666667,1,-0.061458333,0.123148148,1,0.0734375,0.164351852,0,0,0
4variationblur1007.png,0,0,0,0,0,0,0,0,0,0,0,0,1,0.209114583,0.096296296,1,-0.047916667,0.12037037,1,0.08515625,0.164351852,0,0,0
4variationblur1008.png,0,0,0,0,0,0,0,0,0,0,0,0,1,0.227604167,0.098611111,1,-0.034895833,0.117592593,1,0.09609375,0.163425926,0,0,0
4variationblur1009.png,0,0,0,0,0,0,0,0,0,0,0,0,1,0.240885417,0.100925926,1,-0.021614583,0.116203704,1,0.105989583,0.163888889,0,0,0
4variationblur1010.png,0,0,0,0,0,0,0,0,0,0,0,0,1,0.252864583,0.102314815,1,-0.008854167,0.114814815,1,0.115364583,0.163888889,0,0,0
4variationblur1011.png,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2625,0.103240741,1,0.00390625,0.114351852,1,0.123697917,0.164814815,0,0,0
4variationblur1012.png,0,0,0,0,0,0,0,0,0,0,0,0,1,0.26875,0.104166667,1,0.015625,0.113425926,1,0.13125,0.164351852,0,0,0
4variationblur1013.png,0,0,0,0,0,0,0,0,0,0,0,0,1,0.274479167,0.105555556,1,0.0265625,0.1125,1,0.1375,0.164351852,0,0,0
4variationblur1014.png,0,0,0,0,0,0,0,0,0,0,0,0,1,0.27890625,0.10787037,1,0.0359375,0.112037037,1,0.14296875,0.163888889,0,0,0
4variationblur1015.png,0,0,0,0,0,0,0,0,0,0,0,0,1,0.281770833,0.111111111,1,0.04375,0.112037037,1,0.14765625,0.165277778,0,0,0
4variationblur1016.png,0,0,0,0,0,0,0,0,0,0,0,0,1,0.28359375,0.112962963,1,0.050260417,0.112962963,1,0.151041667,0.165740741,0,0,0
4variationblur1017.png,0,0,0,0,0,0,0,0,0,0,0,0,1,0.284635417,0.115277778,1,0.055989583,0.112962963,1,0.15390625,0.166666667,0,0,0
4variationblur1018.png,0,0,0,0,0,0,0,0,0,0,0,0,1,0.285677083,0.116666667,1,0.0609375,0.112962963,1,0.155989583,0.166666667,0,0,0
