,averageRating,datePublished,genre,name,ratingCount,releasedCountry
0,7.9,2008.0,Action,Iron Man,816047.0,USA
1,7.9,2008.0, Adventure,Iron Man,816047.0,USA
2,7.9,2008.0, Sci-Fi,Iron Man,816047.0,USA
3,7.2,2013.0,Action,Iron Man 3,654108.0,USA
4,7.2,2013.0, Adventure,Iron Man 3,654108.0,USA
5,7.2,2013.0, Sci-Fi,Iron Man 3,654108.0,USA
6,8.1,2014.0,Action,Guardians of the Galaxy,883112.0,USA
7,8.1,2014.0, Adventure,Guardians of the Galaxy,883112.0,USA
8,8.1,2014.0, Comedy,Guardians of the Galaxy,883112.0,USA
9,8.1,2014.0, Sci-Fi,Guardians of the Galaxy,883112.0,USA
10,7.0,2010.0,Action,Iron Man 2,618786.0,USA
11,7.0,2010.0, Sci-Fi,Iron Man 2,618786.0,USA
12,7.4,2015.0,Action,Avengers: Age of Ultron,610584.0,USA
13,7.4,2015.0, Adventure,Avengers: Age of Ultron,610584.0,USA
14,7.4,2015.0, Sci-Fi,Avengers: Age of Ultron,610584.0,USA
15,8.0,2016.0,Action,Deadpool,771562.0,USA
16,8.0,2016.0, Adventure,Deadpool,771562.0,USA
17,8.0,2016.0, Comedy,Deadpool,771562.0,USA
18,8.0,2016.0, Sci-Fi,Deadpool,771562.0,USA
19,7.9,2017.0,Action,Thor: Ragnarok,398732.0,USA
20,7.9,2017.0, Adventure,Thor: Ragnarok,398732.0,USA
21,7.9,2017.0, Comedy,Thor: Ragnarok,398732.0,USA
22,7.9,2017.0, Fantasy,Thor: Ragnarok,398732.0,USA
23,7.9,2017.0, Sci-Fi,Thor: Ragnarok,398732.0,USA
24,7.0,2011.0,Action,Thor,641834.0,USA
25,7.0,2011.0, Adventure,Thor,641834.0,USA
26,7.0,2011.0, Fantasy,Thor,641834.0,USA
27,7.0,2011.0, Sci-Fi,Thor,641834.0,USA
28,7.4,2018.0,Action,Black Panther,408274.0,USA
29,7.4,2018.0, Adventure,Black Panther,408274.0,USA
30,7.4,2018.0, Sci-Fi,Black Panther,408274.0,USA
31,7.8,2014.0,Action,Captain America: The Winter Soldier,620817.0,USA
32,7.8,2014.0, Adventure,Captain America: The Winter Soldier,620817.0,USA
33,7.8,2014.0, Sci-Fi,Captain America: The Winter Soldier,620817.0,USA
34,7.8,2014.0, Thriller,Captain America: The Winter Soldier,620817.0,USA
35,6.8,2008.0,Action,The Incredible Hulk,380596.0,USA
36,6.8,2008.0, Adventure,The Incredible Hulk,380596.0,USA
37,6.8,2008.0, Sci-Fi,The Incredible Hulk,380596.0,USA
38,7.5,2017.0,Action,Wonder Woman,443611.0,USA
39,7.5,2017.0, Adventure,Wonder Woman,443611.0,USA
40,7.5,2017.0, Fantasy,Wonder Woman,443611.0,USA
41,7.5,2017.0, Sci-Fi,Wonder Woman,443611.0,USA
42,7.5,2017.0, War,Wonder Woman,443611.0,USA
43,7.7,2017.0,Action,Guardians of the Galaxy Vol. 2,419224.0,USA
44,7.7,2017.0, Adventure,Guardians of the Galaxy Vol. 2,419224.0,USA
45,7.7,2017.0, Comedy,Guardians of the Galaxy Vol. 2,419224.0,USA
46,7.7,2017.0, Sci-Fi,Guardians of the Galaxy Vol. 2,419224.0,USA
47,7.5,2017.0,Action,Spider-Man: Homecoming,366514.0,USA
48,7.5,2017.0, Adventure,Spider-Man: Homecoming,366514.0,USA
49,7.5,2017.0, Sci-Fi,Spider-Man: Homecoming,366514.0,USA
50,7.0,2013.0,Action,Thor: The Dark World,505957.0,USA
51,7.0,2013.0, Adventure,Thor: The Dark World,505957.0,USA
52,7.0,2013.0, Fantasy,Thor: The Dark World,505957.0,USA
53,7.3,2015.0,Action,Ant-Man,455790.0,USA
54,7.3,2015.0, Adventure,Ant-Man,455790.0,USA
55,7.3,2015.0, Comedy,Ant-Man,455790.0,USA
56,7.3,2015.0, Crime,Ant-Man,455790.0,USA
57,7.3,2015.0, Sci-Fi,Ant-Man,455790.0,USA
58,7.8,2018.0,Action,Deadpool 2,292979.0,USA
59,7.8,2018.0, Adventure,Deadpool 2,292979.0,USA
60,7.8,2018.0, Comedy,Deadpool 2,292979.0,USA
61,7.8,2018.0, Sci-Fi,Deadpool 2,292979.0,USA
62,6.3,2018.0,Action,Jurassic World: Fallen Kingdom,167743.0,USA
63,6.3,2018.0, Adventure,Jurassic World: Fallen Kingdom,167743.0,USA
64,6.3,2018.0, Sci-Fi,Jurassic World: Fallen Kingdom,167743.0,USA
65,5.7,2003.0,Action,Hulk,234039.0,USA
66,5.7,2003.0, Sci-Fi,Hulk,234039.0,USA
67,7.5,2016.0,Action,Doctor Strange,456475.0,USA
68,7.5,2016.0, Adventure,Doctor Strange,456475.0,USA
69,7.5,2016.0, Fantasy,Doctor Strange,456475.0,USA
70,7.5,2016.0, Sci-Fi,Doctor Strange,456475.0,USA
71,6.2,2007.0,Action,Spider-Man 3,444214.0,USA
72,6.2,2007.0, Adventure,Spider-Man 3,444214.0,USA
73,6.2,2007.0, Sci-Fi,Spider-Man 3,444214.0,USA
74,7.3,2002.0,Action,Spider-Man,619558.0,USA
75,7.3,2002.0, Adventure,Spider-Man,619558.0,USA
76,7.3,2002.0, Sci-Fi,Spider-Man,619558.0,USA
77,6.5,2017.0,Action,Justice League,291247.0,USA
78,6.5,2017.0, Adventure,Justice League,291247.0,USA
79,6.5,2017.0, Fantasy,Justice League,291247.0,USA
80,6.5,2017.0, Sci-Fi,Justice League,291247.0,USA
81,7.2,2017.0,Action,Star Wars: Episode VIII - The Last Jedi,423400.0,USA
82,7.2,2017.0, Adventure,Star Wars: Episode VIII - The Last Jedi,423400.0,USA
83,7.2,2017.0, Fantasy,Star Wars: Episode VIII - The Last Jedi,423400.0,USA
84,7.2,2017.0, Sci-Fi,Star Wars: Episode VIII - The Last Jedi,423400.0,USA
85,6.6,2009.0,Action,X-Men Origins: Wolverine,421441.0,USA
86,6.6,2009.0, Adventure,X-Men Origins: Wolverine,421441.0,USA
87,6.6,2009.0, Sci-Fi,X-Men Origins: Wolverine,421441.0,USA
88,6.6,2009.0, Thriller,X-Men Origins: Wolverine,421441.0,USA
89,6.1,2006.0,Action,Superman Returns,256709.0,USA
90,6.1,2006.0, Adventure,Superman Returns,256709.0,USA
91,7.8,2016.0,Action,Captain America: Civil War,529339.0,USA
92,7.8,2016.0, Adventure,Captain America: Civil War,529339.0,USA
93,7.8,2016.0, Sci-Fi,Captain America: Civil War,529339.0,USA
94,6.6,2014.0,Action,The Amazing Spider-Man 2,374741.0,USA
95,6.6,2014.0, Adventure,The Amazing Spider-Man 2,374741.0,USA
